Record Number	X coor	Y coor	Z coor	Level 1	Level 2	Level 3	Level 4	Level 5	Appended Data
1	13.0	-54.0	-42.0	Right Cerebellum	Posterior Lobe	Cerebellar Tonsil	Gray Matter	*	
2	31.0	-49.0	-41.0	Right Cerebellum	Posterior Lobe	Cerebellar Tonsil	Gray Matter	*	
3	28.0	-78.0	-29.0	Right Cerebellum	Posterior Lobe	Tuber	Gray Matter	*	
4	6.0	-39.0	-37.0	Right Brainstem	Medulla	*	*	*	
5	20.0	-68.0	-40.0	Right Cerebellum	Posterior Lobe	Inferior Semi-Lunar Lobule	Gray Matter	*	
6	7.0	-59.0	-28.0	Right Cerebellum	Anterior Lobe	Nodule	Gray Matter	*	
7	12.0	-66.0	-15.0	Right Cerebellum	Posterior Lobe	Declive	Gray Matter	*	
8	7.0	-23.0	-26.0	Right Brainstem	Pons	*	*	*	
9	40.0	-69.0	-38.0	Right Cerebellum	Posterior Lobe	Inferior Semi-Lunar Lobule	Gray Matter	*	
10	11.0	-81.0	-27.0	Right Cerebellum	Posterior Lobe	Pyramis	Gray Matter	*	
11	-11.0	-52.0	-40.0	Left Cerebellum	Posterior Lobe	Cerebellar Tonsil	Gray Matter	*	
12	-26.0	-79.0	-31.0	Left Cerebellum	Posterior Lobe	Pyramis	Gray Matter	*	
13	-36.0	-80.0	-20.0	Left Cerebellum	Posterior Lobe	Declive	Gray Matter	*	
14	-4.0	-21.0	-27.0	Left Brainstem	Pons	*	*	*	
15	-44.0	-53.0	-36.0	Left Cerebellum	Posterior Lobe	Cerebellar Tonsil	Gray Matter	*	
16	-20.0	-65.0	-40.0	Left Cerebellum	Posterior Lobe	Inferior Semi-Lunar Lobule	Gray Matter	*	
17	-5.0	-56.0	-25.0	Left Cerebellum	Anterior Lobe	Nodule	Gray Matter	*	
18	-27.0	-49.0	-41.0	Left Cerebellum	Posterior Lobe	Cerebellar Tonsil	Gray Matter	*	
19	-39.0	-70.0	-36.0	Left Cerebellum	Posterior Lobe	Inferior Semi-Lunar Lobule	Gray Matter	*	
20	-5.0	-70.0	-26.0	Left Cerebellum	Posterior Lobe	Pyramis	Gray Matter	*	
21	-7.0	-35.0	-29.0	Left Brainstem	Pons	*	*	*	
22	-11.0	-83.0	-22.0	Left Cerebellum	Posterior Lobe	Declive	Gray Matter	*	
23	-8.0	-43.0	-15.0	Left Cerebellum	Anterior Lobe	Culmen	Gray Matter	*	
24	-3.0	-40.0	-45.0	*	*	*	*	*	
25	-49.0	-20.0	34.0	Left Cerebrum	Frontal Lobe	Precentral Gyrus	White Matter	*	
26	-40.0	-23.0	53.0	Left Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 3	
27	-22.0	-24.0	59.0	Left Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 4	
28	-57.0	-9.0	28.0	Left Cerebrum	Frontal Lobe	Precentral Gyrus	White Matter	*	
29	-5.0	-23.0	58.0	Left Cerebrum	Frontal Lobe	Medial Frontal Gyrus	White Matter	*	
30	-53.0	1.0	23.0	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 9	
31	-45.0	-8.0	41.0	Left Cerebrum	Frontal Lobe	Precentral Gyrus	White Matter	*	
32	-42.0	4.0	48.0	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 6	
33	-41.0	9.0	31.0	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	White Matter	*	
34	-28.0	-7.0	54.0	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 6	
35	-24.0	11.0	51.0	Left Cerebrum	Frontal Lobe	Superior Frontal Gyrus	White Matter	*	
36	-14.0	-2.0	63.0	Left Cerebrum	Frontal Lobe	Superior Frontal Gyrus	White Matter	*	
37	-5.0	12.0	57.0	Left Cerebrum	Frontal Lobe	Superior Frontal Gyrus	White Matter	*	
38	-5.0	-4.0	45.0	Left Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 24	
39	-35.0	-49.0	48.0	Left Cerebrum	Parietal Lobe	Inferior Parietal Lobule	White Matter	*	
40	-28.0	-60.0	36.0	Left Cerebrum	Parietal Lobe	Precuneus	White Matter	*	
41	-27.0	-40.0	53.0	Left Cerebrum	Parietal Lobe	Sub-Gyral	White Matter	*	
42	-21.0	-56.0	57.0	Left Cerebrum	Parietal Lobe	Sub-Gyral	White Matter	*	
43	-15.0	-71.0	46.0	Left Cerebrum	Parietal Lobe	Precuneus	White Matter	*	
44	-14.0	-68.0	29.0	Left Cerebrum	Occipital Lobe	Precuneus	White Matter	*	
45	-12.0	-39.0	64.0	Left Cerebrum	Parietal Lobe	Postcentral Gyrus	White Matter	*	
46	-6.0	-55.0	52.0	Left Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	
47	-3.0	-67.0	38.0	Left Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	
48	-38.0	24.0	42.0	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	White Matter	*	
49	-21.0	25.0	40.0	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 8	
50	-15.0	33.0	48.0	Left Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 8	
51	-3.0	29.0	47.0	Left Cerebrum	Frontal Lobe	Medial Frontal Gyrus	*	*	
52	-45.0	26.0	24.0	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	White Matter	*	
53	-27.0	36.0	31.0	Left Cerebrum	Frontal Lobe	Superior Frontal Gyrus	White Matter	*	
54	-10.0	47.0	36.0	Left Cerebrum	Frontal Lobe	Superior Frontal Gyrus	White Matter	*	
55	-38.0	42.0	26.0	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	White Matter	*	
56	-32.0	50.0	-1.0	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	White Matter	*	
57	-27.0	48.0	18.0	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	White Matter	*	
58	-16.0	60.0	3.0	Left Cerebrum	Frontal Lobe	Medial Frontal Gyrus	White Matter	*	
59	-12.0	55.0	-13.0	Left Cerebrum	Frontal Lobe	Superior Frontal Gyrus	White Matter	*	
60	-10.0	57.0	20.0	Left Cerebrum	Frontal Lobe	Superior Frontal Gyrus	White Matter	*	
61	-7.0	47.0	0.0	Left Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 32	
62	-9.0	40.0	-20.0	Left Cerebrum	Frontal Lobe	Sub-Gyral	White Matter	*	
63	-7.0	20.0	-17.0	Left Cerebrum	Frontal Lobe	Medial Frontal Gyrus	White Matter	*	
64	-39.0	-11.0	13.0	Left Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	
65	-36.0	7.0	-1.0	Left Cerebrum	Sub-lobar	Insula	White Matter	*	
66	-35.0	-12.0	0.0	Left Cerebrum	Sub-lobar	Extra-Nuclear	White Matter	*	
67	-22.0	-64.0	11.0	Left Cerebrum	Limbic Lobe	Posterior Cingulate	Gray Matter	Brodmann area 30	
68	-29.0	-91.0	0.0	Left Cerebrum	Occipital Lobe	Middle Occipital Gyrus	White Matter	*	
69	-20.0	-91.0	15.0	Left Cerebrum	Occipital Lobe	Middle Occipital Gyrus	White Matter	*	
70	-19.0	-84.0	-9.0	Left Cerebrum	Occipital Lobe	Lingual Gyrus	White Matter	*	
71	-8.0	-64.0	7.0	Left Cerebrum	Occipital Lobe	Cuneus	White Matter	*	
72	-7.0	-95.0	0.0	Left Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	*	
73	-7.0	-69.0	-11.0	Left Cerebellum	Posterior Lobe	Declive	Gray Matter	*	
74	-5.0	-79.0	2.0	Left Cerebrum	Occipital Lobe	Lingual Gyrus	White Matter	*	
75	-4.0	-90.0	15.0	Left Cerebrum	Occipital Lobe	Cuneus	White Matter	*	
76	-3.0	-75.0	19.0	Left Cerebrum	Occipital Lobe	Cuneus	White Matter	*	
77	-46.0	-69.0	5.0	Left Cerebrum	Occipital Lobe	Middle Occipital Gyrus	Gray Matter	Brodmann area 37	
78	-42.0	-72.0	24.0	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	White Matter	*	
79	-39.0	-76.0	-3.0	Left Cerebrum	Occipital Lobe	Inferior Occipital Gyrus	Gray Matter	Brodmann area 19	
80	-37.0	-82.0	15.0	Left Cerebrum	Occipital Lobe	Middle Occipital Gyrus	White Matter	*	
81	-27.0	-76.0	32.0	Left Cerebrum	Occipital Lobe	Cuneus	White Matter	*	
82	-26.0	-67.0	-20.0	Left Cerebellum	Posterior Lobe	Declive	Gray Matter	*	
83	-23.0	-65.0	-4.0	Left Cerebrum	Occipital Lobe	Lingual Gyrus	White Matter	*	
84	-16.0	-48.0	2.0	Left Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	Brodmann area 19	
85	-10.0	-83.0	32.0	Left Cerebrum	Occipital Lobe	Cuneus	White Matter	*	
86	-4.0	-52.0	-5.0	Left Cerebellum	Anterior Lobe	Culmen	Gray Matter	*	
87	-49.0	-11.0	-26.0	Left Cerebrum	Temporal Lobe	Fusiform Gyrus	White Matter	*	
88	-57.0	-43.0	7.0	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 22	
89	-56.0	-12.0	-10.0	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	White Matter	*	
90	-56.0	-29.0	-13.0	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	White Matter	*	
91	-54.0	-27.0	3.0	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	White Matter	*	
92	-52.0	0.0	2.0	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	White Matter	*	
