ctx-lh-lateralorbitofrontal,ctx-lh-parsorbitalis,ctx-lh-frontalpole,ctx-lh-medialorbitofrontal,ctx-lh-parstriangularis,ctx-lh-parsopercularis,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-caudalmiddlefrontal,ctx-lh-precentral,ctx-lh-paracentral,ctx-lh-rostralanteriorcingulate,ctx-lh-caudalanteriorcingulate,ctx-lh-posteriorcingulate,ctx-lh-isthmuscingulate,ctx-lh-postcentral,ctx-lh-supramarginal,ctx-lh-superiorparietal,ctx-lh-inferiorparietal,ctx-lh-precuneus,ctx-lh-cuneus,ctx-lh-pericalcarine,ctx-lh-lateraloccipital,ctx-lh-lingual,ctx-lh-fusiform,ctx-lh-parahippocampal,ctx-lh-entorhinal,ctx-lh-temporalpole,ctx-lh-inferiortemporal,ctx-lh-middletemporal,ctx-lh-bankssts,ctx-lh-superiortemporal,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-lateralorbitofrontal,ctx-rh-parsorbitalis,ctx-rh-frontalpole,ctx-rh-medialorbitofrontal,ctx-rh-parstriangularis,ctx-rh-parsopercularis,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-caudalmiddlefrontal,ctx-rh-precentral,ctx-rh-paracentral,ctx-rh-rostralanteriorcingulate,ctx-rh-caudalanteriorcingulate,ctx-rh-posteriorcingulate,ctx-rh-isthmuscingulate,ctx-rh-postcentral,ctx-rh-supramarginal,ctx-rh-superiorparietal,ctx-rh-inferiorparietal,ctx-rh-precuneus,ctx-rh-cuneus,ctx-rh-pericalcarine,ctx-rh-lateraloccipital,ctx-rh-lingual,ctx-rh-fusiform,ctx-rh-parahippocampal,ctx-rh-entorhinal,ctx-rh-temporalpole,ctx-rh-inferiortemporal,ctx-rh-middletemporal,ctx-rh-bankssts,ctx-rh-superiortemporal,ctx-rh-transversetemporal,ctx-rh-insula
0,71.34380921,7.721597518,46.42075932,26.77879445,0.033369665,14.03077718,0,0,9.96E-05,0,0.014982064,0,0,0.002371712,0,0,0.011476323,0.003593454,0.008844953,0.009883921,0.026051358,0.028054355,0.125193059,0.003709909,0,0.61321826,0.266235167,0.000314729,0.040996085,0,4.183163322,0.000504286,38.0415726,0.222939773,0.000450653,0.00102145,0.084516129,0.000371437,0,9.82E-05,0.000300865,0,0,0,0.002778743,0,0,0,0,0,0.000108331,0,0.000255984,0,0.000490256,0.007855763,0.051149987,0,0,0,0.000215773,0.000110914,0,0,0.000451697,0.000257235,0.002424242
61.43006798,0,0.023458445,0.02555341,42.94493844,0.000836353,16.36230495,0.043210961,0,0,0,0,0,0,0.000442184,0,0,0.000909298,0.000631313,0.001129624,0.004052685,0.006650544,0.005349501,0.020786697,0,0,0,0,0,0.002492851,0,0.016808007,0,0.08329214,0.005056357,0.001455251,0.001299123,0.003138486,0,0,0.001665386,0.004304621,0,0,0,0.001029866,0,0,0,0,0,0,0,0.000183942,0,0,0.001484643,0.007375538,0,0,0,0.00044287,0.000150614,0,0,0,0,0.000473541
7.823187282,0.002680965,0,22.58052775,0,0,5.455442584,0.873514116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073150054,0.004156564,5.106890939,0.374668538,0,0,0.003199777,0.003592059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45.13479624,0.006834051,28.57543221,0,0.000717789,0,0.015768265,3.30008306,0,0,0,38.41680486,0.001230201,0,0.000568666,0,0,0.000254647,0.000217972,0,0.001548227,0.004468122,0.001602681,0.023730747,0.002487906,0,0.021023766,0.317871372,0.000237784,0.005820433,0,0.278589744,0.000351494,4.757898708,0.642785738,0.011456135,2.905545617,50.0399685,0,0,0.016774265,0.03113192,0,0,0,17.0870993,0.001242043,0,0,0,0,0,0,0,0,0.000338009,0.001204094,0.011087704,0.000454994,0,0.000311624,0.020492387,0.009119696,0.005559262,0,0.005042343,0,0.250958204
36.4952363,48.48392613,0.000867303,0.001196315,0,40.54873892,7.70270936,0.015409836,0.00471955,0.010264276,0,0,0,0,0.003901805,0.001125764,0.001567957,0.033591906,0.011220518,0.034772672,0.034433286,0.042139384,0.068981626,0.153006851,0.001471995,0,0,0.000325468,0.00075287,0.014017161,0.000328407,0.449819936,0.018722696,34.9090535,0.00071936,0.000347766,0,0.000215633,0.000523286,0.013972986,0.000580046,0.0017899,0.000186619,0.002259618,0,0.000362845,0,0,0.000986842,0,0,0.000260807,0,0.000479962,0.000330743,0.000794597,0.007738815,0.063176008,0,0,0,0,0.000134165,0.00023385,0,0.000137118,0,0.000794045
0.018277857,0,0,0,55.10588503,0,15.04258226,1.306071678,36.17595593,22.57041252,0.001683704,0,0,0,0.001604922,0.014678099,0.083349613,0.002476627,0.002234756,0.004713854,0.001448855,0.00095816,0.001693719,0.001086012,0,0,0,0,0.000810889,0.090640632,0.080636462,0.413389017,0.004565466,56.07749412,0.000160681,0,0,0,0.012931996,1.014121444,0.003554885,0.240813198,0.130532259,0.169541972,0.00096864,0,0,0,0.000540103,0.000442184,0.00064612,0.001200264,9.21E-05,0.001446445,0,0.000314465,0.000145656,0.000211372,0,0,0,0,0,0,0.000544514,0.000251383,0,0.004034734
16.89129873,19.63933753,5.608253589,0.13035099,10.6067734,24.49516111,0,26.47539501,14.06308766,0.001088816,0,0.000661507,0.000139043,0,0.000134093,0,8.77E-05,0.001017423,0.000228728,0.001237212,0.00069735,0.000437956,0.00166605,0.002523129,0,0,0,0,0,0.000665807,0,0.00519569,0.000294746,0.035814759,0.012471712,0.030313469,0.059089897,0.104994734,0.10592394,0.713116644,0.104522381,0.517298086,0.014372979,0.111879911,0,0.000560381,0.000139645,0,0,0,0.000174558,0,0,9.41E-05,0,0,0.000377911,0.001065089,0,0,0,0,0,0,0,0.002398287,0,0.044163703
0.000290645,0.015545407,0.914004458,7.560099672,0.019918033,1.662053953,26.46435894,0,35.73065636,14.18697603,5.409609836,19.25660523,23.13937189,6.012450907,0.002686891,0.019277929,0.004458084,6.30E-05,5.82E-05,0.095904027,0,0,0,0,0,0,0,0,0.000365152,0.003789879,0.002433301,0.001264183,0.000184069,0.003603063,0.001854163,0.009349504,0.030789145,0.479102256,0.162406382,3.603637504,0.200152207,44.56995717,0.702651858,6.738567322,19.0137905,0.197004814,3.489636153,0.069554031,0.006694488,0.015291254,0.002123894,0.000185983,0.00117934,0.02664401,0,0,0,0,0,0,0,0,0,0.001351788,0.000523013,0.003490955,0,0.059928145
0,0,0,0,0.016518424,47.04325988,14.12364776,33.12704889,0,31.2807651,0.020131042,0,0,0,0,0.003254475,0.003869573,0.000217782,0.000190386,0.000379915,0,0,0,0,0,0,0,0,0.000307992,0.004359615,0.003322259,0.00109535,0,0.011008898,0,0,0,0,0.004112283,0.339653751,0.002117217,0.035027956,0.03183954,0.058745518,0.051933174,0,0,0,0,0,0,0.000211876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000587501
9.96E-05,0,0,0,0.008140632,29.89057884,0.002644268,17.13330972,30.32546111,0,68.59641664,0,0.000264971,0.309474706,0.01062264,86.89065352,1.287446293,0.308711576,0.032957245,0.097482395,0,0,0.000448029,0,0,0.000788022,0,0,0.077119811,0.515458918,0.224720545,2.010250899,0.095638171,20.19493645,0,0,0,0,0.000116822,0.024579274,7.49E-05,0.227740506,0.00960729,7.906286844,40.35200195,0,0,0.042716734,0.003342762,5.795018187,0.015236805,0.825938016,0.005626067,0.06279292,0,0,0,0,0,0.000387822,0.000266471,0,0,0.001279109,0.002839442,0.003241626,0.002973241,0.025778733
