ctx-lh-lateralorbitofrontal,ctx-lh-parsorbitalis,ctx-lh-frontalpole,ctx-lh-medialorbitofrontal,ctx-lh-parstriangularis,ctx-lh-parsopercularis,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-caudalmiddlefrontal,ctx-lh-precentral,ctx-lh-paracentral,ctx-lh-rostralanteriorcingulate,ctx-lh-caudalanteriorcingulate,ctx-lh-posteriorcingulate,ctx-lh-isthmuscingulate,ctx-lh-postcentral,ctx-lh-supramarginal,ctx-lh-superiorparietal,ctx-lh-inferiorparietal,ctx-lh-precuneus,ctx-lh-cuneus,ctx-lh-pericalcarine,ctx-lh-lateraloccipital,ctx-lh-lingual,ctx-lh-fusiform,ctx-lh-parahippocampal,ctx-lh-entorhinal,ctx-lh-temporalpole,ctx-lh-inferiortemporal,ctx-lh-middletemporal,ctx-lh-bankssts,ctx-lh-superiortemporal,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-lateralorbitofrontal,ctx-rh-parsorbitalis,ctx-rh-frontalpole,ctx-rh-medialorbitofrontal,ctx-rh-parstriangularis,ctx-rh-parsopercularis,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-caudalmiddlefrontal,ctx-rh-precentral,ctx-rh-paracentral,ctx-rh-rostralanteriorcingulate,ctx-rh-caudalanteriorcingulate,ctx-rh-posteriorcingulate,ctx-rh-isthmuscingulate,ctx-rh-postcentral,ctx-rh-supramarginal,ctx-rh-superiorparietal,ctx-rh-inferiorparietal,ctx-rh-precuneus,ctx-rh-cuneus,ctx-rh-pericalcarine,ctx-rh-lateraloccipital,ctx-rh-lingual,ctx-rh-fusiform,ctx-rh-parahippocampal,ctx-rh-entorhinal,ctx-rh-temporalpole,ctx-rh-inferiortemporal,ctx-rh-middletemporal,ctx-rh-bankssts,ctx-rh-superiortemporal,ctx-rh-transversetemporal,ctx-rh-insula
0,68.36321887,5.141854637,50.9904715,24.61524854,0.032562125,13.10380424,0.000762512,0,9.39E-05,0,0.252716061,0,0,0.000404449,0.00012108,0,0.005714583,0.005316955,0.002977077,0.002989217,0.007147798,0.036505867,0.128663811,0.004679831,0.000423146,0.025311025,2.042145984,0.008007206,0.116457248,0.000199382,6.231184232,0.003804089,40.36023927,0.258629917,0.000210571,0.00419874,0.184735872,0.000522694,0,0,7.09E-05,0,0,0,0.051812344,0,0,0,0,0,0.000204228,0,0.00035059,0,0.000679348,0.00036794,0.010846892,0,0,0,0.000621955,0.000646134,0.000189906,0,0.000330396,0,0.002384961
63.43492329,0,0.084922634,0.06740284,40.31220311,0,13.83603638,0.024692402,0,0,0,0,0,0,0,0.000530176,0,0.00583713,0.007342321,0.004657582,0.007201152,0.004031097,0.019189583,0.03936773,0.000162324,0,0,0.000865426,0.000405927,0.007651109,0,0.026035503,0.016194332,0.552997602,0.002462296,0.000465441,0.003557664,0.004346159,0,0,0.00012078,0.002522617,0,0,0,0,0,0,0,0,0,0.000139034,0,0,0,0,0,0.003242925,0,0,0,0,0,0,0,0,0,0
5.715037594,0.007196833,0,16.68950112,0.000888099,0,4.068687155,1.414331066,0,0,0,0,0,0,0,0,0,0,0.0002664,0,0,0,0.00019857,0.001958864,0,0,0,0,0,0.000782718,0,0.001006796,0.001242236,0.017213236,0.002946231,0,4.344243792,0.617486339,0,0,0,0.000373989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48.01199277,0.017782877,15.80007446,0,0.00114969,0,0.022493994,5.158817253,0,0,0,45.57550269,0.008761682,0.000488878,0.00027465,0,0,0.001562406,0.00145765,0.000845845,0.001775411,0.00098912,0.009112575,0.021722766,0.001341022,0,0.005062537,1.178101178,0.005410383,0.010606953,0,0.226525166,0.00034459,1.566450197,0.437763371,0.014513788,0.943010392,65.79032258,0.000225454,0,0.018170426,0.292280633,0,0,0,6.293357653,0.004210526,0,0,0,0,0,0,0.000413622,0,0,0.000145996,0.001706303,0.000988003,0,0.004943697,0.038925984,0.014156853,0.000758602,0,0.000128601,0,0.245707418
36.36865381,44.04881245,0.004440497,0.006208324,0,47.69234056,9.48131591,0.065179697,0.0098809,0.019303069,0,0,0,0,0.002182725,0.001840209,0.000658545,0.02802257,0.039256311,0.013214205,0.016975047,0.007695267,0.080310494,0.09915787,0.002135839,0,0,0.002520876,0.002544529,0.016395479,0.002440885,0.606756314,0.104132901,48.05245902,0.000871688,0.000664231,0,0,0.000749719,0.00179332,0.001093853,0.004045798,0.000352578,0.00011605,0,0,0,0,0.000316756,0,0,0.000124146,0,0.001173193,0.000318827,0.000746826,0.000467617,0.007521448,0,0,0,0,0,0,0,0,0,0.000371058
0.038794111,0.000785752,0,0,60.73688708,0,18.2214026,1.196342959,42.04119384,27.0549814,0.000908265,0,0,0.000226116,0,0.023605297,0.073103613,0.012598243,0.002616747,0.003501684,0,0,0.001741577,0.000200763,0,0,0,0,0.048788601,0.132592299,0.013851101,0.295422031,0.004329674,51.95670921,0,0,0,0,0.000419551,0.071367072,0.000908403,0.115132582,0.111369991,0.02057021,0.00090508,0,0,0,0,0,0,0.000113372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009584924
22.36608679,20.51796731,4.372751735,0.204193055,11.00813847,25.73444333,0,30.34457336,17.90960722,0.005831116,0.000236756,0.000855798,0.000641108,0,0.000249501,0.001323919,0.000886989,0.002599346,0.004435066,0.002179884,0.001289574,0.000404968,0.003215155,0.002548618,0.000169033,0,0,0,0.000535906,0.001399689,0,0.025338857,0.010856122,0.399837423,0.001801802,0.001790281,0.012367491,0.02723573,0.056409965,0.288673139,0.041359042,0.185175477,0.001431093,0.009757188,0.000236323,0,0,0,0,8.87E-05,0.00025071,0,0,8.60E-05,0,0,8.91E-05,0,0,0,0,0,0,0.000147032,0,0.000905275,0,0.018040984
0.000207958,0.063422265,1.440272109,6.804831581,0.153058008,2.33493143,30.63445162,0,34.08323812,12.0270874,7.630665109,24.00255281,27.54365383,9.223893805,0.021702838,0.017915522,0.0014665,0.002821213,0.001504723,0.17424267,0.00017067,0,0.000710962,0,0,0,0,0,0.001057207,0.001307656,0.000414921,0.00677015,0.002579842,0.106117127,0.000689227,0.012813985,0.313195548,1.317265815,0.122822811,0.879477104,0.444934413,33.43473014,0.666159011,2.828292122,17.17381508,0.382594488,1.297153635,0.082484431,0.004861693,0.00393675,0.001946014,0.001069646,0.000103381,0.046947152,0,0.000261986,0,0,0,0,0,0,0,0.001081604,0,0.003164753,0,0.111840712
0,0,0,0,0.038817821,63.95600808,19.33508328,33.22911257,0,37.72718747,0.040252272,0,0,0.00018486,0,0.024052698,0.0070626,0.000933707,0.0001831,0.000356633,0,0,0.000118322,0,0,0,0,0,0.005397032,0.004692202,0.000198807,0.000426667,0.000236939,0.00486367,0,0,0,0,0.000521376,0.040717792,0.000550737,0.027212813,0.016296296,0.0115724,0.013502266,0,0,0,0,0.000121647,0,0,0,0.000116666,0,0,0,0,0,0,0,0,0,0,0,0.00032987,0,0.004480224
0.00056346,0,0,0.000321044,0.018517479,34.09342704,0.005904005,16.1032601,36.49038732,0,49.72654621,0,0,0.017682751,0.000365742,87.26184171,1.403638386,0.341406614,0.040943103,0.043500644,0.000125929,0,0.003676942,0,0,0.001002004,0,0.000122414,0.556062951,1.185375388,0.113139127,5.46211761,0.200040196,21.50947347,0,0,0,0,0.000444593,0.001691958,0,0.106546041,0.008998875,1.407676768,23.36539684,0,0,0.002156722,0,3.986478824,0.00411438,0.503275737,0.000256929,0.42422447,0,0,0,0,0,0.000850237,0,0,0,0.00137791,0.000370874,0.000729483,0.000135053,0.020027924
